"","listing_id","Mean","Max","Min","Median","Std"
"18181",9669806,24,31,1,30,13
"18182",9669869,27,27,27,27,NA
"18183",9669912,24,31,1,30,12
"18184",9669973,26,31,1,30,10
"18185",9669978,23,31,1,30,13
"18186",9670040,24,31,1,30,12
"18187",9670050,28,31,17,30,5
"18188",9670114,12,26,2,10,9
"18189",9670130,24,24,24,24,NA
"18190",9670729,26,31,1,30,10
"18191",9670763,28,31,3,30,6
"18192",9670992,28,31,1,30,8
"18193",9671101,29,31,3,30,6
"18194",9671417,25,31,12,28,7
"18195",9671569,1,1,1,1,NA
"18196",9671669,29,31,3,31,6
"18197",9671783,13,25,1,13,17
"18198",9671865,13,24,2,13,16
"18199",9671980,16,31,3,16,11
"18200",9671999,29,31,3,30,6
"18201",9672022,14,25,4,14,15
"18202",9672118,28,31,3,30,6
"18203",9673043,6,6,6,6,NA
"18204",9673363,26,31,1,30,9
"18205",9673402,17,27,3,18,9
"18206",9673450,25,31,1,30,12
"18207",9673660,27,31,3,30,8
"18208",9673762,29,31,3,30,6
"18209",9673806,1,1,1,1,0
"18210",9674114,29,29,29,29,NA
"18211",9675689,28,31,1,30,9
"18212",9678281,16,16,16,16,NA
"18213",9678553,28,31,3,30,6
"18214",9678653,17,24,14,16,4
"18215",9679129,24,31,2,30,12
"18216",9679370,1,1,1,1,NA
"18217",9679818,29,31,3,30,6
"18218",9680698,29,31,3,31,6
"18219",9680773,29,31,3,31,6
"18220",9680960,28,31,14,30,5
"18221",9681123,12,12,12,12,NA
"18222",9681760,26,31,16,30,7
"18223",9681887,26,31,1,30,11
"18224",9682196,28,31,7,30,7
"18225",9682246,29,31,17,30,4
"18226",9682353,26,31,11,30,9
"18227",9682412,28,31,3,30,6
"18228",9682464,28,31,1,30,8
"18229",9682566,26,31,1,30,10
"18230",9682594,28,31,5,30,7
"18231",9682736,12,23,2,12,15
"18232",9682759,1,1,1,1,NA
"18233",9682918,20,31,10,20,15
"18234",9683013,25,31,3,30,11
"18235",9683014,19,29,9,19,14
"18236",9683087,18,30,6,19,11
"18237",9683213,27,31,1,30,8
"18238",9683443,29,31,3,31,6
"18239",9683484,29,31,3,30,6
"18240",9683560,28,31,3,30,6
"18241",9683579,29,31,9,30,6
"18242",9683584,16,31,8,10,13
"18243",9683620,29,31,3,30,7
"18244",9683622,13,28,1,11,11
"18245",9683653,28,31,20,30,4
"18246",9683667,24,31,1,30,12
"18247",9683708,29,31,18,30,4
"18248",9683721,26,31,3,30,9
"18249",9683842,9,14,3,11,6
"18250",9683952,28,31,3,30,7
"18251",9684024,27,30,24,27,4
"18252",9684134,10,13,7,10,4
"18253",9684148,29,31,3,31,6
"18254",9684169,29,31,3,31,6
"18255",9684173,5,7,3,5,3
"18256",9684313,28,31,3,30,6
"18257",9684316,27,31,1,30,8
"18258",9684335,14,15,13,14,1
"18259",9684391,29,31,3,30,6
"18260",9684432,30,31,22,30,2
"18261",9684524,28,31,11,30,6
"18262",9684540,4,7,2,3,3
"18263",9684570,3,3,3,3,NA
"18264",9684638,5,7,3,5,3
"18265",9684678,26,31,3,30,9
"18266",9684788,21,29,6,27,13
"18267",9684791,29,31,3,31,6
"18268",9684808,3,4,2,3,1
"18269",9684920,20,22,19,20,2
"18270",9684965,28,31,3,30,7
"18271",9684968,30,31,28,30,1
"18272",9685011,20,31,3,28,13
"18273",9685315,2,2,2,2,NA
"18274",9685402,28,31,15,30,5
"18275",9685414,27,31,1,30,9
"18276",9685438,22,27,17,23,5
