"","city","bathrooms","bedrooms","beds","price","review_scores_rating","spoi1km","spoi5km","spoi10km","dist_train","beach1km","beach5km","city1km","city5km","city10km","home_apt","private_room","shared_room","Apartment","House","Townhouse"
"12338","Avalon Beach",1,2,3,220,95,0,16,4,0,1,0,0,0,0,"1","0","0","1","0","0"
"12339","Pyrmont",2,2,5,259,83,180,196,66,1,0,1,1,0,0,"1","0","0","1","0","0"
"12340","Greenwich",3,4,4,475,100,0,256,76,0,0,1,0,1,0,"1","0","0","0","1","0"
"12341","Potts Point",1,0,1,105,99,100,204,60,1,0,1,0,1,0,"1","0","0","1","0","0"
"12342","Sydney",1.5,2,2,130,92,0,4,10,0,0,1,0,0,0,"1","0","0","1","0","0"
"12343","Saint Ives",2,3,4,176,100,20,88,29,0,0,0,0,0,0,"1","0","0","0","1","0"
"12344","North Bondi",1,1,1,70,100,0,48,66,0,1,0,0,0,1,"0","1","0","1","0","0"
"12345","Concord",1,1,1,50,94,80,88,92,1,0,0,0,0,1,"0","0","1","1","0","0"
"12346","Waverley",1,1,1,119,100,20,56,68,1,0,1,0,0,1,"1","0","0","1","0","0"
"12347","Northmead",1,1,3,105,70,20,172,34,0,0,0,0,1,0,"0","1","0","0","1","0"
"12348","Bellevue Hill",1,1,1,75,100,0,56,70,0,0,1,0,0,1,"0","1","0","1","0","0"
"12349","Arncliffe",1,1,1,119,99,20,36,48,1,0,1,0,0,1,"1","0","0","1","0","0"
"12350","Bondi",1,1,1,150,93,0,56,67,0,0,1,0,0,1,"1","0","0","1","0","0"
"12351","Zetland",2,2,2,161,100,20,152,56,1,0,1,0,1,0,"1","0","0","0","0","1"
"12352","Frenchs Forest",2,4,3,113,100,0,8,45,0,0,0,0,0,0,"1","0","0","0","1","0"
"12353","Newport",2,5,7,650,93,0,8,6,0,1,0,0,0,0,"1","0","0","0","1","0"
"12354","Manly",1,1,1,190,100,100,36,38,0,1,0,0,0,0,"0","1","0","1","0","0"
"12355","Zetland",2,2,2,101,70,20,140,56,1,0,1,0,1,0,"1","0","0","1","0","0"
"12356","Manly",1,1,1,135,97,100,40,41,0,1,0,0,0,0,"1","0","0","1","0","0"
"12357","Dee Why",1.5,1,1,70,100,0,8,20,0,1,0,0,0,0,"0","1","0","1","0","0"
"12358","Killara",1,1,1,70,96,40,92,51,1,0,0,0,0,0,"0","1","0","1","0","0"
"12359","Darlinghurst",1,1,1,80,93,80,212,55,1,0,1,0,1,0,"0","1","0","0","0","1"
"12360","Randwick",1,1,1,66,90,0,64,67,0,0,1,0,0,1,"0","1","0","1","0","0"
"12361","Surry Hills",1,1,1,150,90,60,204,60,1,0,1,0,1,0,"1","0","0","1","0","0"
"12362","Matraville",1,1,1,75,98,0,12,38,0,0,1,0,0,1,"0","1","0","0","0","1"
"12363","Freshwater",1,2,1,150,87,0,40,42,0,1,0,0,0,0,"1","0","0","1","0","0"
"12364","Surry Hills",1,1,1,90,100,20,208,52,1,0,1,0,1,0,"0","1","0","0","1","0"
"12365","Bondi",1,1,1,160,90,20,16,73,0,1,0,0,0,1,"1","0","0","1","0","0"
"12366","Collaroy Plateau",1,3,4,300,100,0,4,12,0,1,0,0,0,0,"1","0","0","0","1","0"
"12367","Bronte",1,0,1,190,98,20,16,72,0,1,0,0,0,1,"1","0","0","1","0","0"
"12368","Kingsford",1,1,1,60,100,0,36,71,0,0,1,0,0,1,"0","1","0","1","0","0"
"12369","Bellevue Hill",2,1,1,84,100,0,84,70,0,0,1,0,0,1,"0","1","0","0","1","0"
"12370","Centennial Park",1,1,1,200,100,0,172,49,0,0,1,0,1,0,"1","0","0","1","0","0"
"12371","Camperdown",1,1,1,80,100,40,216,51,1,0,0,0,1,0,"0","1","0","1","0","0"
"12372","Darlinghurst",1,1,1,80,98,80,216,51,1,0,1,0,1,0,"0","1","0","0","0","1"
"12373","Neutral Bay",1,1,1,235,93,0,280,49,0,0,1,0,1,0,"0","1","0","1","0","0"
"12374","Collaroy",2,4,6,445,97,0,0,16,0,1,0,0,0,0,"1","0","0","0","1","0"
"12375","Annandale",1,0,1,75,96,80,208,63,1,0,0,0,1,0,"1","0","0","1","0","0"
"12376","Bondi Beach",1,2,2,190,100,0,52,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"12377","Darlinghurst",1,2,2,260,95,80,216,55,1,0,1,0,1,0,"1","0","0","0","1","0"
"12378","Millers Point",1,1,1,189,93,340,180,61,1,0,1,0,1,0,"1","0","0","1","0","0"
"12379","Surry Hills",1,1,1,89,97,80,192,63,1,0,1,0,1,0,"0","1","0","0","1","0"
"12380","Bondi Beach",1,2,2,392,60,0,52,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"12381","Surry Hills",1,0,1,99,96,80,188,64,1,0,1,0,1,0,"1","0","0","1","0","0"
"12382","Potts Point",1,1,1,300,93,60,228,56,1,0,1,0,1,0,"1","0","0","1","0","0"
"12383","Sans Souci",1,1,1,80,100,0,36,16,0,0,1,0,0,0,"0","1","0","0","1","0"
"12384","Centennial Park",1,2,2,119,87,0,160,51,0,0,1,0,1,0,"1","0","0","1","0","0"
"12385","Manly",1,2,3,156,95,100,60,49,0,1,0,0,0,0,"1","0","0","0","1","0"
"12386","Mosman",1,1,1,55,80,20,152,72,0,1,0,0,0,1,"0","1","0","1","0","0"
"12387","Elizabeth Bay",1,1,1,109,87,60,216,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"12388","Palm Beach",2,3,8,750,100,0,28,1,0,1,0,0,0,0,"1","0","0","0","1","0"
"12389","Kensington",1.5,1,1,50,98,0,124,61,0,0,1,0,1,0,"0","1","0","0","0","1"
"12390","Neutral Bay",1,1,1,60,97,0,280,49,0,0,1,0,1,0,"0","1","0","1","0","0"
"12391","Bundeena",1,1,1,280,100,0,4,8,0,1,0,0,0,0,"0","1","0","1","0","0"
"12392","Surry Hills",1,1,1,200,96,100,208,53,1,0,1,0,1,0,"1","0","0","1","0","0"
"12393","Burwood",1,1,4,118,87,140,68,83,1,0,0,0,0,1,"0","1","0","1","0","0"
"12394","Bondi Beach",1,1,1,194,96,0,44,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"12395","Coogee",1,1,1,40,100,0,8,69,0,1,0,0,0,1,"0","1","0","1","0","0"
"12396","Bondi Beach",1,2,2,400,100,0,40,67,0,1,0,0,0,1,"1","0","0","1","0","0"
"12397","Bondi Beach",1,1,1,194,100,0,44,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"12398","Bronte",1,1,1,90,98,20,20,74,0,1,0,0,0,1,"0","1","0","1","0","0"
"12399","Bondi Beach",1,1,1,93,100,0,52,69,0,1,0,0,0,1,"0","1","0","1","0","0"
"12400","Kingsford",1,1,2,64,85,0,36,72,0,0,1,0,0,1,"0","0","1","1","0","0"
